Vessel_Name,MMSI_List
EDWARD HENRY,[235004230]
ADELHEID BR,[636024718]
AQUA HARVESTER,[235114546]
RED KESTREL,[232019192]
IEVOLI BLACK,[232052519]
CHEMICAL FRONTIER,[538010262]
SALLY ANN,[235105485]
MIKAL WITH,[259228000]
STOREMOOR,[232026710]
VILLE DE PARIS,[227017600]
LCU 9738,[235075498]
CM NEPTUNE,[636023865]
EXTERMINATOR,[235109009]
PEGASUS J,[304122000]
CLEAN IMPERIAL,[538010830]
SCA ORTVIKEN,[265412000]
VOS GLORY,[235103023]
COTE D'OPALE,[228417600]
ARC INDEPENDENCE,[338794000]
GRATEFUL,[232007139]
F\V CALIFORNIA,[228089900]
PURUS BRIGHTON,[232056674]
AL SAFAT,[636093160]
VERLAINE WD5,[250003172]
SVITZER INTREPID,[235051992]
FINNECO II,[230697000]
ABEILLE NORMANDIE,[228415800]
GHIBLI,[246301000]
SILVER RAVEN,[232061638]
GOOD FELLOWSHIP,[232004770]
WIND PEAK,[219032994]
ZEPHYR,[232020261]
SKANDI VEGA,[257403000]
WATERFORD PILOTS,[250006468]
ELISALEX SCHULTE,[563052000]
CGAS TIGER,[249224000]
ROCKET SCIENCE,[232020612]
NOVA,[211870240]
SPAUWER,[244870072]
BUZLUDJA,[215475000]
SIKINOS I,[636018307]
NAVIOS DOLPHIN,[249077000]
ALAMOSBORG,[246830000]
ISLE OF JURA,[232021966]
SOUND OF SCARBA,[235001902]
GPS INDIA,[235098066]
LADY ANNA,[246838000]
WESERTAL,[255806447]
EMS DEFENDER,[235091291]
FALCON ICHIBAN,[563256400]
ROSE I,[636022191]
BRIDGET CARMEL,[250000223]
BALTIC HOLLYHOCK,[311000977]
RONJA KVALOEY,[257069640]
VEERSEBORG,[341599000]
ICDAS-5,[271046518]
RACHEL PARSONS,[232052439]
ESVAGT CASTOR,[220003000]
MFV SAM OF LADRAM,[232005520]
ID'ASAH,[228473700]
FAITHLIE FR220,[232007173]
JOHN RAE,[235078737]
GV SORRENTO,[235087639]
HERBEIRA,[255872000]
FREYJA OF SCAPA,[232045630]
SEACAT RELIANCE,[235092439]
IWS SEAWALKER,[210594000]
SVITZER TYNE,[235108271]
LONGVIK,[246669000]
SKANDI LIFTER,[220579000]
OOCL JAPAN,[477100400]
SANDRA,[636019119]
AL MANAMAH,[636093140]
GASCHEM EUROPE,[636093244]
WILSON NICE,[259020000]
LAGO DI FIASTRA,[636093201]
MN PELICAN,[228315700]
CEMLUNA,[209671000]
VELOX,[232005533]
ESVAGT CORONA,[220281000]
PERFORMANCE,[249178000]
SAPELE,[235054851]
BALTIC CRYSTAL,[231873000]
NORTHERN ROCK,[244850087]
GLOR NA FARRAIGE,[250014000]
CURO,[244193000]
"CECILIA ""WD239A""",[250001048]
OCEAN HARVEST PD198,[235064432]
RESILIENTT GUARD VES,[232711000]
MSC CALISTA II,[255806513]
SOLENT FLYER,[235114986]
SD ENGINEER,[235002008]
ARUNA CIHAN,[538004411]
ADELE BELLIS,[232055877]
AINE CHRISTINA,[250470000]
WINDCAT 22,[235075935]
OCEAN RESPONSE,[257954000]
THUN LIDKOPING,[244046000]
BBC BERGEN,[255806353]
HAPPY DELTA,[246659000]
EARL THORFINN,[232000760]
AASTIND,[236729000]
F/V EGUNABAR,[225318000]
FORTH PUMA,[232014923]
STENA HIBERNIA,[235102224]
SUPRA DUKE,[636023846]
SONGA CRYSTAL,[215474000]
AISLING GABRIELLE,[250101540]
LINK STAR,[259101000]
CALEDONIAN ISLES,[232001580]
F/V JEAN TABOUREL,[228364900]
ISLAND FLYER,[235117772]
WILSON HORTEN,[314628000]
AQUARIUS,[255915850]
SVITZER ELIZABETH,[232048132]
MARIEKE,[205745000]
QUEENSFERRY,[232026545]
MSC MOMBASA,[636023024]
MSC ROSARIA,[372737000]
ARKLOW BRAVE,[244730944]
GREATHAM,[235038773]
VAN KINSBERGEN,[244736000]
CABO ORTEGAL,[232007250]
MAJESTIC MAERSK,[219018501]
PATRICIA OLDENDORFF,[636092852]
ANNIE E,[232008182]
SNS076 BL LIFEBOAT,[227003610]
FRANS HALS,[244780652]
PROUD,[246611000]
ARUNA ISMAIL,[538004999]
RAMBIZ,[205132000]
SUCCESS III,[235008670]
ESVAGT OBSERVER,[219826000]
ERICUSA M,[247433300]
SSI DAUNTLESS,[538009052]
SIDER LIU,[255916106]
LOCHLANN,[235054179]
SAOIRSE NA FARRAIGE,[250005815]
SEAWELL,[232159000]
TALISMAN,[620999883]
FREESIA SEAWAYS,[219435000]
ZHONG REN 122,[413343190]
STELLA POLARIS PD200,[235097047]
MAERSK LONDRINA,[219540000]
LAKER,[352003741]
FLAMENCO,[636018752]
RESOLUTE BF50,[232028941]
WILSON SUND,[257077550]
AMY JANE,[232051493]
UKD SEAHORSE,[232004441]
VARAGEN,[232000550]
OYAPOCK,[226937000]
ESVAGT CASSIOPEIA,[219009432]
CRC WALRUS,[232045496]
LH PILOT ST HONORINE,[228055080]
RIX CHEETAH,[235097312]
RIX BALTIC,[209892000]
ESVAGT FARADAY,[219613000]
SOLWAY FISHER,[308665000]
SKOGAFOSS,[305411000]
JSP MOEN,[255807000]
GOVENEK OF LADRAM,[235006840]
YM CREDIBILITY,[636019898]
SONGA COMMANDER,[257426000]
SKONNERTEN JYLLAND.,[220276000]
HAFNIA KIRSTEN,[249340000]
GAS HARALAMBOS      ,[308652000]
NJORD THUNDER,[232023509]
INTERMEZZO,[244030835]
WINDCAT 33,[235103062]
PANDA 002,[255805843]
LODE,[232005827]
SCENIC GEM,[229784000]
SOEROEYSUND,[257137000]
ALBICORE,[235002917]
L OGIEN,[235082849]
ARKLOW VANGUARD,[244050844]
FRYSLAN,[235084537]
PERSEVERANCE II,[235100625]
LORAX,[311001079]
H.M.DENHAM,[235062807]
EXCELLO,[266273000]
SIEM CONFUCIUS,[636017540]
VECTIS PRIDE,[235094625]
KARINA THERESA,[220648000]
FLOWING STREAM,[232019731]
NJORD SKUA,[235103429]
ARCO AVON,[232001240]
HIGHLAND PRESTIGE,[235050073]
SMIT WAALHAVEN 8,[244730476]
LADY ZEHRA,[371716000]
VISION V BF191,[232045144]
WINDCAT 37,[235108878]
MELATI 6,[477133600]
EMERALD GRATIA,[250000511]
ARGYLE,[235052541]
IRISH SEA PIONEER,[355862000]
HUMBER SURVEYOR,[232020829]
MARINER B,[232011493]
MMS CRUSADER,[235111766]
LIVA GRETA,[636020786]
YM TRANQUILITY,[636021578]
WIRON5.H1100,[235103397]
HAVILAH,"[235108007, 235106049]"
OCEAN VOYAGER,[232040997]
ADMIRAL P,[235094496]
NOORDERZON,[339824000]
IDA,[636016690]
FIONIA SEA,[255816000]
MAMRY,[311058600]
REM MIRA,[212896000]
NORTH SEA,[636017501]
ECO LUCIDITY,[538006120]
GPS VINCIA,[232009347]
SKIPPER TIDE,[259231000]
ONYX ARROW,[311918000]
KRITI CORAL,[241676000]
WESTEWIND,[245029000]
F/V TCHOT PIERRE 2,[227314310]
KAJA,[305465000]
MAJESTIC PRINCESS,[232002990]
FPMC 29,[636015250]
OBERVARGH,[232023027]
SPIRIT OF PORTSMOUTH,[235024149]
MAGNUM,[226002380]
STENA SCOTIA,[232018002]
AFRICAN KALMIA,[636015892]
THUN VETTERN,[265053000]
SVITZER TRIDENT,[232028316]
LADY CARINA,[244621000]
AURA M,[636093371]
BEAUMONT,[235050609]
SNAEFELL RIVER,[232058650]
SPIRIT OF FRANCE,[209490000]
SHANNON FISHER,[308539000]
MCS SWATH 1,[235117181]
BALTIC,[219032007]
NORTHERLY EXPLORER,[235098358]
CHEMICAL VOYAGER,[248037000]
CEG UNIVERSE,[275486000]
STRAITVIEW,[256765000]
BOLTEN KEFALONIA,[538003423]
RNLI LIFEBOAT E-08,[235080606]
KEY BORA,[236385000]
CRC GLADIATOR,[235112943]
VOS VIGILANT,[235085344]
SEVERN SEA,[235077754]
SPECTRUM 2,[235097363]
JAKARA N336,[235021533]
PALMBORG,[245281000]
GREEN ISLE,[235108183]
FALNES TIDE,[259868000]
AL ZUBARA,[211886500]
TANNER,[232038663]
WHITE ROSE PH279,[234209000]
GV ELLORAH BF12,[235073457]
HOY HEAD,[235018919]
PUTFORD TERMINATOR,[234979000]
DUBLIN SWIFT,[209192000]
FUGRO QUEST,[311001151]
COASTBUSTER II,[235001431]
EXPRESS SPAIN,[248846000]
MFV BLACK ROSE,[235088014]
TRIDENS,[244033000]
BALTIC MOON,[255915581]
MED NORDIC,[256714000]
IWS SKYWALKER,[210498000]
AGIA VALENTINA,[538007948]
ASTERIA LEADER,[431024000]
ASSISTER,[219699000]
DOUWENT,[305002300]
STENA FORWARDER,[219559000]
WELL-SAFE PROTECTOR,[351635000]
EQUATOR,[538003141]
PLACER,[235091255]
F/V MERE DU CHRIST 2,[228446600]
STENA FORERUNNER,[244030593]
HAPPY RANGER,[245539000]
NJORD SNIPE.,[235103431]
SPARTO,[215510000]
OTTOMAN TENACITY,[271042654]
AMELIA,[538011767]
MCS SWATH 2,[232021202]
SARASWATI,[352005254]
H&S FAIRNESS,[246822000]
COSCO SHANGHAI,[235067987]
DAR MLODZIEZY,[261148000]
H&S WISDOM,[245339000]
GPS BATTLER,[212160000]
DELTA-D,[244720000]
SANTA MARIA,[564118000]
SUN CLIPPER,[235003348]
APOLLO INS179,[235001820]
X-PRESS ELBE,[212018000]
VB NOBLEMAN,[232012996]
THALASSA,[246329000]
F/V FRANDRINE,[227316610]
H&S PATIENCE,[245072000]
CMA CGM FORTDEFRANCE,[249045000]
ACE KRISTIANSAND,[209670000]
CORINTHIAN,[249556000]
HERMANN SCHULTE,[477462400]
KROONBORG,[244830399]
TRAFALGAR SENTINEL,[232041826]
CL GANJIANG,[477928400]
SMB-01,[232046307]
GERNIKA NM,[225410000]
P&O LIBERTE,[210384000]
NR PUMA,[235100744]
RLO MERCHANT,[245323000]
VIOLETA THERESA,[249126000]
ANDESBORG,[246797000]
ONTARIO EXPRESS,[310761000]
PHENIX,[235053701]
HAV ALDA,[231864000]
OLGA,[636016374]
PROVIDER,"[235000752, 257232000]"
SVITZER ADIRA,[232008120]
KRISTA,[305284000]
CM COAST,[636021860]
MAERSK OHIO,[367775000]
F/V ADRIANA,[228380600]
FRISIAN SEA,[244780424]
SOUTHERN BREEZE,[232021827]
FLEUR DE LYS,[235075198]
CAROLINE A,[247353200]
MALYOVITSA,[215672000]
LOCH PORTAIN,[235008928]
THOR HIGHWAY,[636023332]
BERGEN STAR,[258310000]
AGRAFA,[314694000]
STAR ISTIND,[257424000]
ATLANTIS ANTIBES,[249702000]
ELISABETH K,[244243000]
SDM SHENYANG,[636022821]
THIERRY M,[226010550]
MALAMUTE,[235053189]
SENECA,[212546000]
AURORA,"[310556000, 304080000]"
BOTTICELLI,[226001140]
SEA SATIN,[235019388]
AMONITH,[210745000]
LPG/C GREEN ENERGY,[563172500]
FV TREVESSA IV,[232005890]
ORALORA,[219200000]
THAMES TRAINER,[232019100]
MURRAY V,[232029326]
LURO,[244059000]
RED OSPREY,[235006680]
HOLS,[232026983]
PYTHAGORE,[226013720]
CIELO DI ULSAN      ,[256902000]
WILSON HANSTHOLM,[314629000]
UHL FAST,[255806186]
ALICE COSULICH,[247427900]
CONTSHIP TOP,[636018000]
ELBTRADER,[212937000]
MFV ARCTURUS PH7979,[232007026]
CL FLANDERS,[205168000]
HILDASAY,[235087121]
LEFKAS,[212874000]
GLOMAR PRIDE,[351228000]
MONT SAINT MICHEL,[227023100]
CLEAN FUTURE,[256223000]
CHANNEL CHIEFTAIN 6,[235095697]
BELEM,[227051000]
BOKA OCEAN,[311064500]
KAMELIA             ,[229245000]
ENERGY,[255806300]
SANN TRO,[376616000]
RENAISSANCE,[310805000]
TRUE LIGHT,[250103840]
ARKLOW ACE,[250005913]
GEOQUIP ELENA,[576431000]
HYDROCAT 60,[232058586]
PULLMOOR,[232027935]
MEIN SCHIFF 3,[229090000]
COTE DES FLANDRES,[228085000]
PTB-03,[232037745]
ABERDEEN,[255916071]
KENDRA OLDENDORFF,[255806277]
NOBLE RESILIENT,[538010633]
F/V AQUILA,[235050371]
KOKSIJDE,[205743000]
SCELVERINGHE,[244476000]
CONDOR TRADER,[548944000]
ACHIEVE,[232016187]
PAGE,[636024805]
JSP HALMOE,[255812000]
NINQUEN,[211145300]
F/V MERCATOR,[228363800]
COMMODORE CLIPPER,[308094000]
PXX,[228248740]
GRANDE SCANDINAVIA,[247018700]
TINA-M,[256959000]
INVICTUS,[232059502]
ETAP,[2320209]
SARPEDON,[235056272]
AMS SPIRIT,[235077743]
LANTIC BAY,[235021996]
ECHO EXPLORER,[235106587]
THAME,[235092014]
JAN V,[304274000]
HAGLAND CHIEF,[257207000]
MATTEO BR,[247381900]
BROAD GLORY,[354897000]
INEOS INGENUITY,[219000034]
METHANE BECKI ANNE,[310597000]
WINDCAT 7,[235055752]
KAIE,[305036000]
SUNMI,[309937000]
RUM JUNGLE,[235014165]
VB 26 DEAUVILLE,[227006770]
ATLANTA EXPRESS,[636018702]
GV SILVERWAVE BF372,[235004940]
DE MANKE MONNIK,[244013475]
OOCL DENMARK,[477949400]
MONSOON CLIPPER,[235057011]
BERNHARD SCHEPERS,[305741000]
OOCL FELIXSTOWE,[477890700]
ESSENCE,[244238000]
OCEAN AQUILA,[232026422]
MORNING CECILIE     ,[440367000]
CENTURIUS,[538006206]
TORM AMALIE         ,[219466000]
FEO SWAN,[256453000]
MSC MIA SUMMER II,[636018326]
VELOS FORTUNA,[538008717]
ALAMO               ,[354701000]
SITULA,[356151000]
ENNA,[253781000]
SEASPRAT,[218057000]
VOS ENTERPRISE,[235078284]
STROOMBANK,[244617000]
SUNRISE,[304201000]
GENESIS,[235008110]
SOLVIK SUPPLIER,[311070200]
SPECIALITY,[235098053]
MIRAMAR,[212584000]
ACTA CENTAURUS      ,[244341000]
PORT DE CALAIS,[2278000]
CALCIT 8,[244830198]
CMA CGM MARSEILLE,[229749000]
F/V JEAN PAUL 2,[227314170]
REYMAR,[212880000]
YASA GOLDENBOSPHORUS,[538002662]
HEBRIDES,[235000864]
M BRISTOL,[477085800]
JOHN PAUL K,[245181000]
LYNCEUS,[232003238]
AURORA POWER,[235101811]
WIGHT LIGHT,[235064784]
BALTIC SUN,[255916186]
MAERSKMCKINNEYMOLLER,[219018271]
DINTELBORG,[245279000]
PROTECTER,[235091158]
FRANK HENRY,[232034229]
DSV CURTIS MARSHALL,[235107219]
ALPPILA,[230613000]
PONT AVEN,[228183600]
NJORD R,[219387000]
ORION CLIPPER,[235113611]
SEAWAYS RED         ,[538004029]
WATERFALL,[235071392]
WILLSUPPLY,[235083598]
HNLMS URANIA,[245804000]
STOC MARCIA,[212123000]
CORAL ISLAND,[249397000]
CMA CGM ZHENG HE,[215199000]
HAFNIA SUNDA,[566579000]
DETECTER,[220626000]
VULCAN,[235077424]
Z115 ANTJE DE VRIES,[205752000]
CMA CGM ABU DHABI,[248729000]
PAVO J,[305055000]
WEC MONDRIAAN,[255805775]
HAV NES,[231099000]
SPECTRUM 1,[235075021]
BORE SONG,[244130690]
PLAN B,[232032327]
MORAG M,[235074938]
AIMEE,[244710267]
MOONFLEET,[232055094]
LADY KATHLEEN,[250006159]
ERATO,[636015002]
BOW CAPRICORN,[257067210]
SD FLORENCE,[232002641]
KITCAT,[235074502]
ORMESBY CROSS,[235000032]
ICENI VICTORY,[235100575]
NOBLE INNOVATOR,[538010663]
HEENVLIET,[258049000]
ANTHEMIS,[228383700]
ENERGY ARTEMIS,[232032105]
AURORA CLIPPER,[235056987]
COBALT NOVA,[636020370]
IZMIR,[229219000]
FOREVER FAITHFUL PD,[232053998]
SONGA SAPPHIRE,[248940000]
HUMBER MERCURY,[235083948]
LNG JUNO,[311000583]
DUNKERQUE SEAWAYS,[235028825]
SEATROUT,[211881000]
VERA RAMBOW,[218627000]
DUNCAN,[227062830]
PILOT BOAT HAMPSHIRE,[235014661]
ISLE OF INISHEER,[210780000]
ALERT,[235010690]
MILLENIUM OF PEACE,[235052119]
KAPTAN VEYSEL VARDAL,[256752000]
SEAHARMONY,[229902000]
MINOAN GLORY,[636019301]
WAYGAT,[244740304]
GRAY SALVOR,[235024027]
MFV O51 STORMVOGEL,[205277000]
EEMS SERVANT,[246236000]
SPARTINA,[232009969]
BLADE GALAXY,[538007810]
AMIS CHAMPION,[357887000]
ANTHEA Y,[636016986]
AMBITION,[311001141]
LEONTIOS H,[241454000]
FEROX,"[244750431, 244890709]"
KARO,[235054768]
F/V DIEU A BIENFAIT,[227124600]
LISELOTTE ESSBERGER,[255890000]
WELL-SAFE DEFENDER,[538010504]
ALFA ALANDIA,[311000534]
NYK VIRGO,[563025600]
HST LLANELLI,[232035358]
NAVE PHOTON,[352004479]
F/V SERENA,[227857000]
LOA,[220001000]
SUN BIRD,[305781000]
THOMAS DOGGETT,[232005583]
OUR JULIA SH310,[235074807]
MATZ MAERSK,[219019365]
EASTERN NYMPHAEA,[636019136]
PHILLIP BAY,[538005705]
RNLI LIFEBOAT 13-29,[232009187]
STAR PISCES,[636024670]
RIX MISTRAL,[212503000]
TITAN ENDEAVOUR,[235086211]
VOS TRADER,[232019715]
WILSON DORDRECHT,[314474000]
BORE BAY,[230357000]
BARLAEUS,[244780182]
CHRYSTAL SKY,[538004215]
SERAPHIM PD170,[232051042]
NORDTIGRIS,[255806049]
KASPAR OLDENDORFF,[255806281]
KUBRAT,[636024971]
F/V ARPEGE,[228070800]
IMPULSE,[235022603]
GERTRUDE OLDENDORFF,[255805809]
WILSON CORK,[314180000]
ARNARFELL,[231355000]
NELLI,[304636000]
HONEYBOURNE III,[233450000]
CHILIDOG,[232007900]
WATCHDOG,[235070805]
CORRINGHAM,[235026165]
ARMADA KRAKEN,[566489000]
JOHNNY KRAAIJKAMP,[244820983]
DEEPSEA ATLANTIC,[310766000]
LADY CATHERINE,[250014182]
SVITZER MELTON,[232002593]
LMZ PLUTO,[538004342]
AURORA STORM,[257734000]
WILSON NANJING,[259000000]
THUN LONDON,[244056000]
LINDEN TRADER,[548694000]
JULIEN M,[226009040]
YASMINE,[249594000]
CITY ALPHA,[235054916]
EMERALD PRINCESS,[310531000]
RNLI LIFEBOAT 13-13,[235106583]
RNLI LIFEBOAT 13-37,[232009306]
AMADEUS SAFFIER,[245918000]
ARDAS I,[636021089]
SVITZER AMAZONAS,[232017592]
CELTIC VOYAGER,[255915898]
CORAL FURCATA,[636022088]
GRANDE ELLADE,[247019600]
MAERSK GUAYAQUIL,[477737800]
FV ALCEDO,[232025056]
VOS ENDEAVOUR,[235076082]
RONJA SPIRIT,[259195000]
DIONYSIOS Z,[241660000]
GV.SHALIMAR 2,[235003850]
GC BERYL,[477735200]
FRI SEA,[311028300]
PALEISGRACHT,[244122000]
KARINA C,[255806311]
BALTIC SWIFT,[229879000]
FILYOZ,[215090000]
ALTERA THULE,[311001011]
MORITZ SCHULTE,[235307000]
MARVEL DOVE,[636023837]
SHARON VALE N34,[233098000]
ST FAITH,[235031618]
EGS VENTUS,[538007957]
CAMILLA ESLEA,[232032303]
ALEX VON HUMBOLDT 2,[218768000]
ERNE,[249706000]
COTE D'ALBATRE,[228233600]
VOLTAIRE,[253813000]
MELODIE DE LA MER 3,[228417700]
WILSON GDANSK       ,[259181000]
MSC SAN FRANCISCO,[636025011]
VOS FAIRNESS,[235097314]
HARVEST,[257437000]
NAN XIN 27,[538007927]
STAR OF JURA,[235040345]
MSC CORNELIA,[636017514]
STELLA THERESA,[538004239]
RNLI LIFEBOAT 17-16,[232003134]
RNLI TRAINING ROB E,[235040257]
GEO FOCUS,[246836000]
PATMOS,[256657000]
GRAMPIAN DERWENT,[232046383]
ATLANTICA SUPPLIER,[210538000]
TRANSPORTER,[230684000]
CONDOR VOYAGER,[311001050]
SCAN FJORD,[314318000]
ABANA,[314740000]
CS PRIDE,[566090000]
NORWEGIAN DAWN,[311307000]
SCOT ISLES,[232035207]
MILLENNIUM CITY,[235052123]
WILSON DUISBURG,[314037000]
CELTIC ENDEAVOUR,[305924000]
SVITZER BARGATE,[235108268]
HUMBER SOUNDER,[235117222]
RNLI LIFEBOAT 13-46,[232027356]
REM INSPECTOR,[257978000]
SC EMERALD,[244030634]
SEACAT MAYFLOWER,[232056758]
CITY OF CHICHESTER,[232003081]
EXCEL BF110,[232047720]
AURORA COEY,[257625000]
GOLDEN SPIRIT,[235054918]
M/V ULLA,[219026522]
SHAPINSAY,[235019175]
SV WAKILI,[636023794]
F/V FELIR,[228267900]
PRODUCTION,[235090273]
AASTUN,[255768000]
DOVER SEAWAYS,[235010500]
BERNSTEIN,[209341000]
CMA CGM BARRACUDA,[229842000]
BOOKING,[244870232]
KON.WILLEM ALEXANDER,[244780635]
NAUSICAA,[250000283]
CHAMPION POMER,[538008843]
AILA,[230985000]
MOWI HUNTER,[235101749]
SANTONA,[228433900]
REUL NA MARA,[232052093]
CONWY PLATFORM,[235089132]
ATLANTIC STAR,"[215797000, 258563000]"
AVONTUUR IV,[235054304]
RIVERSCAPE,[235054923]
KS CAMELLIA,[352003111]
AUTO WAY,[257824000]
CHEMICAL MARINER,[256251000]
ELIM BOUNCE,[636021331]
PHANTOM,[305980000]
PRIDE,[236166000]
GEO OCEAN VIII,[253000079]
ARMADOR II,[232012297]
AURORA GALAXY,[258159000]
MH SHOGUN,[538011432]
DOLPHIN,[244070415]
WILSON DUNDEE,[314635000]
SEACAT LIBERTY,[232009504]
ESSENZA,[244770798]
KETHI,[215540000]
VESPERTINE,[249671000]
RIX VENTURE,[212673000]
TUCANA,[245050000]
FALSTRIA SWAN,[304955000]
BOW AQUARIUS        ,[257384000]
WINDCAT 10,[235064453]
CEFAS ENDEAVOUR,[235005270]
PINTA,[236180000]
ARGYLL FLYER,[235087611]
CLARABELLE,[255915967]
MANOR BRUNEL,[232004634]
MARIA MAGDALENA 3,[250136400]
TEES NAVIGATOR,[235031854]
AFON ALAW,[235090202]
SULA OF BRAYE,[235000464]
ARKLOW ROVER,[250014194]
FOB SWATH 9,[219027989]
STINNES ZEPHIR,[304332000]
ARMORIQUE,[228263700]
BRUARFOSS,[231836000]
GEO OCEAN V,[253754000]
F/V TALARIANTE,[228203800]
SWORD LION,[271050524]
KIEL EXPRESS,[636093170]
ARTEMIS,[232043529]
WESTMINSTER,[235052134]
HST BRIXHAM,[232040184]
ZAPPHIRE,[248159000]
TRIUMPH TIDE,[259140000]
DRAGON,[368233890]
ATHENA,[241784000]
MARGARITA,[636013376]
COASTRUNNER,[235084268]
OCEAN TRANSFER,[250014464]
BOW TITANIUM,[257289000]
LYSVIK SEAWAYS,[259468000]
SUBSEA VIKING,[259578000]
SCHIEHALLION,[235097949]
LIANNE,[305067000]
SLOMAN HEBE,[305265000]
ICELANDICA HAV,[309175000]
LADY HENRIETTA,[538010003]
THUN LIVERPOOL,[244066000]
TASMAN,[314477000]
STIRLING CASTLE     ,[232047057]
AGATH,[209168000]
Z510 DENNIS,[205246000]
STRANGFORD 2,[232003239]
FLUVIUS OTTER,[314655000]
REM STAR,[257297000]
STOLT PELICAN,[235083501]
LCU 9732,[235070237]
BBC LAGOS,[305774000]
SVITZER HARTY,[235032474]
THULELAND,[266248000]
F/V BREIZH ARVOR II,[250004156]
BAP UNION,[760105000]
GEORGINA OF LADRAM,[232026459]
BAATSFJORD,[259576000]
THORSVOE,[235018907]
JOHN WILSON,[232050997]
LAEM CHABANG EXPRESS,[477166700]
TIGER EYE           ,[256199000]
AFRIKA,[245811000]
CMA CGM AMERICA,[215651000]
STEN MOSTER,[257840000]
NSL ADVENTURER,[235105693]
OOCL GERMANY,[477035800]
BRITISH SAILOR,[235113767]
LORNA JEAN,[235004900]
HANSON THAMES,[232032107]
MALCOLM MILLER,[212462000]
FASTNET SENTINEL,[235108316]
SVITZER JOSEPHINE,[232003118]
HMS TRENT,[232005754]
WILLENDEAVOUR,[235051664]
GEOSURVEYOR XI,[235099951]
SIGRID THERESA,[219031203]
HAFNIA TORRES,[566598000]
GV INDEPENDENT,[232004081]
SPANACO ADVENTURE,[636023909]
ORION,[250002662]
HMM SOUTHAMPTON,[440363000]
TIANA,[538011107]
BUTE,[235025112]
GIPSY,[244210297]
MARLON,[305168000]
EASTERN VANQUISH,[235113663]
ZIM VIETNAM,[636022113]
HOHE BANK,[236568000]
DESPINA V,[371313000]
NORSTREAM,[230653000]
ELISABETH MAERSK,[219314000]
INDEPENDENT QUEST,[255806481]
TAURUS,[261003330]
CELTIC EXPLORER,[304905000]
KAPRIFOL,[210445000]
OUSE,[232035764]
FORTH WARRIOR,[235116011]
TRITON,[236673000]
VOS FAMOUS,[235097319]
F/V L'ECLIPSE,[227680790]
RNLI LIFEBOAT 17-36,[235005122]
XING HAI WAN,[371737000]
WILHELMINA,[244850687]
OOCL CHONGQING,[477832400]
WELL ENHANCER,[235062421]
SEAWAYS MADELEINE,[538011329]
SLOMAN HERAKLES,[305851000]
MUHARREM DADAYLI,[374045000]
ALFIE,[235093748]
SCOT PIONEER,[235060914]
ARKLOW RAIDER,[250001268]
ROBIN OF LADRAM,[232007350]
BB OCEAN,[258825000]
CGAS MARGRETHE,[249810000]
VOS FABULOUS,[235097311]
GRANUAILE,[250191000]
FLORA 1,[511101742]
SERENITY,[538010527]
SVITZER ESTON,[235108267]
SWS SUFFOLK,[235117805]
SKANDI JUPITER,[257461000]
BLYTH ENERGY,[235001405]
ESTUARY ELITE,[235096547]
ARBROATH,[235050637]
HYDROGEN,[232315289]
RNLI LIFEBOAT 13-57,[232059193]
MSC JEWEL           ,[636019207]
SVITZER VIDAR,[232021737]
GEO OCEAN VI,[253816000]
WILLSEEK,[235013829]
LADY CLARA,[305015000]
STENA HOLLANDICA,[244758000]
REGAL PRINCESS,[310674000]
GLOBAL STAR,[538009028]
ALEYNA MERCAN,[256096000]
G.V. NORTHERN DAWN,[235000897]
ZADA,[235114989]
FRONT SIRIUS,[538007337]
MSC QUITTERIE,[636023758]
HOEGH BERLIN,[258106000]
ALYSSIA,[265671140]
PROPEL SHAKTI,[563155600]
SENTINEL,[232059467]
ARKLOW WIND,[250005461]
SOLOMOS,[256039000]
AASFJORD,[255755000]
RESKO,[256240000]
GV MOREMMA,[235007170]
ESTUARY EVORA,[232025144]
SEDRATA,[605086013]
COE ANNA,[218615000]
VB STATESMAN,[235092996]
STENA ESTRID,[209878000]
ILLUSTRIS B119,[234781000]
WILSON ONEGA,[314472000]
VITALITY,[232024448]
CGAS MATE,[255802940]
FORTH ENGINEER,[235102028]
THUN GEMINI,[245610000]
CONSTELLATION,[620999827]
PAULINE,[249600000]
CHIQUITA EXPRESS,[636017218]
TRYM,"[257862000, 232058314]"
VOS GUARDIAN,[233329000]
ARVIA,[310856000]
C-INSTALLER,[219031822]
OCCITAN PAUILLAC,[215362000]
LEGIONY POLSKIE,[636017071]
AMIS KALON,[357103000]
REM ENERGY,[257769000]
PAGANINI,[210225000]
FELUCCA,[235019066]
ESTEMAR,[253361000]
F/V SAINTE THERESE,[228105240]
ATLANTIC SEA,[215800000]
FURUNO UK,[235041088]
MARIANNE,[205769000]
PACIFIC NAFSIKA,[538006922]
GEAD,[235092069]
TAITS FR229,[232014066]
STEENBANK,[246125000]
CAPTAIN ROCKET,[235104713]
DAGGRI,[235014768]
ENSEMBLE,[246255000]
NAAMA BORCHARD,[305600000]
SEINE HIGHWAY,[308654000]
HIGHLAND PRINCE,[235074584]
DUBAI EXPRESS,[636093143]
F/V LE MARMOUSET 3,[228096900]
MFV EBONNIE,[235032615]
RNLI LIFEBOAT 16-05,[235030387]
SVITZER BRISTOL,[235011376]
STAN HUYGENS,[244750261]
MOON CLIPPER,[235003346]
LIETO,[577399000]
RNLI LIFEBOAT 13-05,[235101098]
SD MARS,[235067374]
