Vessel_Name,MMSI_List,Destination_List
NEWNEW STAR 2,[477909400],['EGEDK']
NORWEGIAN PRIMA,[311001059],"['ZEEBRUGGE, BELGIUM']"
GENESIS HL1065,[235072635],['']
ASBJORN,[219029579],['CALL VHF CH16']
GMS ENDEAVOUR 6102,[370582000],['GB LAR>>>BBW OWF']
GYPSEY RACE,[232007074],['BRIDLINGTON']
OCEAN OBSERVER,[232217000],['SURVEY SITE']
SC JADE,[244103000],['ST HELIER']
IJVEER 54,[244750286],['HEEN EN WEER']
COASTGUARD,"[111232013, 111232537]",['']
ARKLOW FIELD,[250002286],['IEWAT']
EXCELLENCE ROYAL,[269057372],['PARIS CAUDEBEC PARIS']
PRESERVER,[235091157],['GRIMSBY']
FAUSTINE,[229077000],['PTLEI']
ALSIA SWAN          ,[248359000],['MX COA              ']
ANGELA,[205772000],['NLVLI']
VB SANDON,[235074754],['LIVERPOOL TUG OPS']
OCEAN WAVE I,[352146000],['TR ALI']
REVELRY,[235055376],['']
MARAN DANAE,[241827000],"['ANTIFER,FRANCE']"
SCPS JOKER,[235117191],['']
UNDEN,[218041490],['GBHUL']
CHRISTINE,[235051179],['RIDHAM DOCK']
KINGFISHER,[232004550],['SCRABSTER']
WILLSERVE,[235012119],['PORTSMOUTH PILOTS']
WAVEWALKER 1,[244780105],['SCROBY SANDS OWF']
MSC SPRING III,[636017239],['BEANR']
VOX ALEXIA,[245734000],['GBLIV']
NORTHERN VIKING,[235063795],['GREENLINK_CH16_GUARD']
TARGE GUILLEMOT,[232059678],['HOUND POINT']
ANMIRO,[305322000],['ELEFSIS']
HOEGH YOKOHAMA,[257512000],['DEBRV>FRLEH']
FEDERAL BALTIC,[538006278],['USCLE']
AQUA TITAN,[620999999],['EG PORT SAID']
CELTIC CHALLENGER,[305271000],['GBSOU']
ELDA,[352005747],['ROTTERDAM']
ELIMINATOR,[235115154],['']
SCOTT PLATFORM,[232763000],['SCOTT PLATFORM']
AURORA PROTECTOR,[257738000],['ABERDEEN']
HORIZON HIGHWAY,[353105000],['US BAL']
MINERVA JULIE,[240716000],['FOR ORDERS']
ONE RESILIENCE,[477965500],['GBLGP']
RANGER,[209696000],['IEDUB']
MARY  A,[247373700],['GBFAW']
MFV ADMIRAL BLAKE,[232054132],['PLYMOUTH']
VOS TRACKER,[232019711],['SCOTT FIELD']
DSG ALEX ESCORT TUG,[250098000],['CORK']
HONEY BADGER,[636025120],['FLUSHING']
SEA SPRINTER,[250001051],['CLARE>ROONAGH>CLARE']
FRIGG W,[209078000],['NLRTM']
THOR OF SCAPA,[232031136],['NIGG']
VOS VALIANT,[235089032],['LERWICK']
VIRTUOUS FR253,[232024879],['']
WILHELMINE,[249239000],['VLISSINGEN']
RADIANCE INS240,[232006740],['AT SEA']
CALEDONIA III BCK35,[232014358],['FISHING GROUNDS']
CMA CGM SYDNEY,[229699000],['DEHAM>>MAPTM']
CHEM MIA            ,[636019172],['ESBIO               ']
ESVAGT DON,[219011717],['LBA FIELD']
FAIRPLAY-32,[255915891],['HEWETT FIELD']
LONDINIUM 3,[235052039],['RIVER THAMES']
NJORD ZEPHYR,[232013231],['HOW2']
KMARIN RENOWN,[235108526],['NL RTM']
HIGHLAND CHIEFTAIN,[235094269],['ABERDEEN']
ARKLOW GRACE,[244635000],['MACAS']
CAPE AMIRA,[538007725],['MALTA OPL']
PHAROS,[233185000],['OBAN']
RNLI LIFEBOAT 14-28,[232003138],['ACHILL']
MSC SINGAPORE IV,[636021761],['ROTTERDAM']
OCEAN ENDEAVOUR,"[233694000, 235008020]","['FISHING GROUNDS', 'HULL']"
CMA CGM MONZA,[249121000],['GBIMM>BEANR']
ISA,[244571000],['LOWESTOFT']
EUROPA,[215767000],['GBULL']
SHALDER,[232014036],['']
GV BOUNTIFUL BF79,[235009220],['SEAGREEN']
SPIRIT 2,[511101801],['EETLL']
MSC SIXIN           ,[370711000],['NORD_SUNK PBG       ']
PUTFORD AJAX,[232003328],['SOLE PIT']
BW CATCHER,[355631000],['CATCHER FIELD']
SEACAT INTREPID,[235107284],['GWOWF']
XPLORER 18-01,[232051441],['ABERDEEN']
HROSSEY,[235448000],['LERWICK']
SL-9 JOHANNA,[244938000],['STELLENDAM']
RNLI LIFEBOAT 14-21,[232002582],['DONAGHADEE   _']
SOUTHAMPTON PATROL,[235073277],['']
MSC FABIENNE,[354415000],['TRGEB']
FS AQUARIUS,[232025974],['SAFE CALEDONIA']
GOLDEN ORCHID,[636017490],['GBGRG']
SCPS ANGELA,[235117193],['']
HUSKY,[235087309],['WICKLOW']
NINA BRES,[304244000],['PLGDN']
DSB-02,[232039079],['FUEL JETTY']
SEAPIKE,[218292000],['GBIMM']
SOLVIK,[210515000],['ES GIJ']
BARNES,[235085697],['']
PL ST CHRISTHOPHER,[235088423],['PILOTAGE OPS']
SHEN MI,[352004593],['RUULU']
EEMS RIVER,[246802000],['NLSCE']
MJM ENTERPRISE,[232054596],['HARTLEPOOL']
ENERGY PASSION,[257416000],['VALARIS STAVANGER']
Z.48DE MARIA ANTONIA,[205243000],['KEEP DISTANCE']
AUTOSTAR,[255801540],['GBSOU TO ESPAS']
EVRIDIKI G,[636013898],['ANTWERP']
SHAKEDOG,[235093883],['LONDON']
MISJE FLORA,[257537000],['GB LDY']
SYMPHONY TIDE,[257132000],['NINIAN FIELD']
RAUL PRIMERO,[224103970],['CALADER0']
S.B WILL,[235000922],['LONDINIUM']
COOLWATER,[245073000],['SEGOT']
SAGITTARIUS LEADER,[431912000],['COCTG               ']
DORNBUSCH,[211234480],['NTLRM']
HMM ALGECIRAS,[440326000],['GBSOU>SGSIN']
MSC STACEY,[636022722],['DEBRV']
DATTILO  M,[247156500],['GBFAW']
VALLE SOLE,[247434600],['MA PTM']
F/V HARFANG,[228382900],['ROSCOFF']
IMERA,[229561000],['BEGNE']
MANOR ENTERPRISE,[235091722],['GRIMSBY']
F/V ODETTE MARCEL,[228259000],['ST VALERY SUR SOMME']
MARINER SENTINEL,[235117963],['MARINER FIELD']
WILSON WAAL,[314262000],['GBKYL']
MSC ATLANTIC III,[355249000],['GBFXT']
SD TAMAR RACER,[235061062],['PLYMOUTH']
OPTIMIST,[235097629],['DOVER:FRAOIM.']
ARROW,[235096892],['JERSEY']
LOCH SEAFORTH,[235101635],['GBSTO<->GBULL']
KAPELLEN,[205736000],['DKSKA>USHOU']
POINTE DE CAUX,[228437800],['FR LEH']
SHINWA-MARU,[432946000],['ZA SDB']
OAKLAND EXPRESS,[636018703],['NLRTM']
ESVAGT DC 13,[219031338],['']
FV ST GEORGES PZ1053,[232005630],['NEWLYN/CWLL/UK']
HOPETOUN,[232002720],['HOUNDPOINT']
TROY,[253678000],['DEHAM']
GNH CRUSADER,[232002350],['HARWICH']
COTENTIN,[228263800],['FR CER']
MAINTAL,[255806439],['DECUX']
SUECIA SEAWAYS,[220284000],['GBFXT<=>NLRTM']
CROMARTY SENTINEL,[232039611],['CLIPPER SOUTH']
LADY HESTIA,[244110824],['SENRK']
GLOVIS SILVER,[440249000],['BEZEE']
EVA GLOBAL,[352003121],['TR ISK']
ARKLOW GEM,[246706000],['GBHUL']
ROTRA FUTURA,[245697000],['USORF']
DENIS MURPHY,[250000207],['']
EVER ATOP,[563166100],['NLRDM->LK CMB']
STOCK BUILD 3,[232059073],['COWES']
BRISCA,[232005120],['PORT OF CELEIRO']
SEACAT ENDEAVOUR,[235092252],['RAMSGATE<>OWF']
GRAMPIAN RANGER,[235477000],['CURLEW OIL FIELD']
VB YORKSHIREMAN,[235102971],['NEWPORT']
PROTEUS REBECCA,[563162900],['LOME']
ILMA,[256343000],['NL AMS']
WHITONIA,[235040503],['SOLENT BUNKERS']
KATHRYN MATHESON,[232021327],['STORNOWAY']
MED BALTIC,[215194000],['GBFAW']
RNLI LIFEBOAT 17-24,[232004399],['ABDN SAR']
ONE TRITON,[319219200],['GBSOU>USCHS']
MFV DANIELLE,[232005400],['BRIXHAM']
GREEN QUEST,[235083117],['RAMBIZ YARMOUTH RTN']
OCEAN VANTAGE,[351149000],['SURVEY SITE']
INCENTIVE II,[235003589],['PORTAVOGIE']
FRYDERYK CHOPIN,[261000290],['GBABD']
FOSSIL,[352004832],['PORT SAID - EGYPT']
MSC DAISY,[636020468],['FRLEH']
DEGU,[352005328],['VILIB']
ALICIA G,[255915608],['CATHU>BEANR']
GHT MARINAS,[636024638],['ES LPA']
HAV NORDIC,[231812000],['TVOROYRI']
ISLE OF LEWIS,[232002521],['GB CBA<>OBA']
FWN SUN,[244770393],['DECUX']
LAURIERBORG,[246924000],['LULEA']
JONNI RITSCHER,[636091136],['ISREY']
MEHUIN,[636092682],['ESALG']
BLUE 4,"[316034372, 272896200]",['']
PELICAN OF LONDON,[235057366],['OBAN']
SD TAMAR SPIRIT,[235061064],['BUTEC']
SHETLAND TRADER,[636023864],['GBASG']
KAREN ANN,[235103134],['FRASERBURGH']
WILDCAT 7,[235097748],['LIVERPOOL MARINA']
MAERSK BAYETE,[477211100],['DEHAM>MAPTM']
SEATTLE C,[212276000],['BR PNG>ES ALG']
F/V BERLEWEN,[235005980],['LES CASIERS']
BOCHEM BUCEPHALAS,[477142400],['BEANR']
NORSIDE CYGNUS,[311000386],['FPSO TRITON']
VERTOM ANNE MARIT,[245184000],['ESTAR']
BALTIC SPLIT,[255915585],['MAJFL']
JY LAKE,[636019109],['DECUX']
ISLAND EXPLORER,"[235118101, 232040998]","['PADSTOW><PADSTOW', 'CASTLEBAY']"
CAVALLI,[210113000],['ANTWERP']
UAL OSPREY,[255802350],['BE ANR']
FEED ROGALAND,[257071710],['GBBEL']
ACAMAR,[232016997],['']
ARMADA 86 01,[563245400],['PORTLAND']
NORDIC STAR,[319095100],['GBTRA>LYMHR']
VE CAPITAN MIRANDA,[770576100],['GB ABD']
SARNIA CHERIE,[236401000],['GBGTY']
WISBY ARGAN,[259746000],['GB LER']
CLOVIS,[226003010],['LE HAVRE']
CACHACHO,[224047640],['CALADERO']
ECO ICE,[538007403],['FIPRV']
LORD OF THE GLENS,[235000295],['KYLE OF LOCHALSH']
KHK EMPRESS,[563073400],['CCLA>NLRTM']
FINN II,[304702000],['PLSWI']
SCOTT SPIRIT,[311027400],['WILHELMSHAVEN']
ROSTRUM SINGAPORE,[636093310],['DK-M1 P/S']
GALLIVANT,[235023353],['CHANNEL.SWIM.ESCORT']
MATHILDE SCHULTE,[565376000],['USNYC']
SNP WIND,[314667000],['GBGRW']
LEONARDO DA VINCI,[247415300],['OFFSHORE UK']
WILLPROSPECT,[235000825],['PEMBROKE DOCK']
GV SORRENTO,[235087639],['NEP SCOUTING AREA']
JOHN RAE,[235078737],['SCAPA']
SVITZER TYNE,[235108271],['TYNE']
IWS SEAWALKER,[210594000],['SOFIA OWF']
SEACAT RELIANCE,[235092439],['RAMSGATE><TOW']
HERBEIRA,[255872000],['GY GEO']
FREYJA OF SCAPA,[232045630],['SCAPA']
LAGO DI FIASTRA,[636093201],['BR MAO']
SANDRA,[636019119],['LISAHALLY']
AL MANAMAH,[636093140],['DEHAM']
SKANDI LIFTER,[220579000],['PAUL B LOYD JR']
OOCL JAPAN,[477100400],['DE WVN>>SG SIN']
GASCHEM EUROPE,[636093244],['FRLEH']
LONGVIK,[246669000],['GBNPT']
VELOX,[232005533],['IEDRO']
ESVAGT CORONA,[220281000],['ALVHEIM OIL FELD']
WILSON NICE,[259020000],['FRDKK']
CEMLUNA,[209671000],['DKROR']
MN PELICAN,[228315700],['ES BIO']
SIKINOS I,[636018307],"['SUEZ, EGYPT']"
NAVIOS DOLPHIN,[249077000],['GIGIB']
BRIDGET CARMEL,[250000223],['']
BUZLUDJA,[215475000],['COSMR']
ROCKET SCIENCE,[232020612],['WATERLOO']
NOVA,[211870240],['PLGDY']
ELISALEX SCHULTE,[563052000],['FR LEH']
CGAS TIGER,[249224000],['PL GDY']
SPAUWER,[244870072],['OOSTENDE']
BALTIC HOLLYHOCK,[311000977],['RULED']
EMS DEFENDER,[235091291],['GBLOW']
SOUND OF SCARBA,[235001902],['HUNTERS QY/MCINROYS']
GPS INDIA,[235098066],['']
ALAMOSBORG,[246830000],['LIVERPOOL-UK']
ISLE OF JURA,[232021966],['EA3']
LADY ANNA,[246838000],['FRSML']
WESERTAL,[255806447],['DEBKE']
FALCON ICHIBAN,[563256400],['DKFRC']
ROSE I,[636022191],['DK SKA FOR ORDERS']
VEERSEBORG,[341599000],['NO BJF']
RONJA KVALOEY,[257069640],['FISHFARM']
MFV SAM OF LADRAM,[232005520],['BRIXHAM']
ID'ASAH,[228473700],['NLEEM']
ESVAGT CASTOR,[220003000],['FRASERBURGH']
RACHEL PARSONS,[232052439],['DBA']
ICDAS-5,[271046518],['BEGNE']
FAITHLIE FR220,[232007173],['']
AASTIND,[236729000],['GBPTB']
F/V EGUNABAR,[225318000],['VIGO SPN']
HAPPY DELTA,[246659000],['GRLAV               ']
EARL THORFINN,[232000760],['KIRKWALL&NORTH-ISLES']
FORTH PUMA,[232014923],['PILOT DUTIES']
STENA HIBERNIA,[235102224],['HEY-BELFAST-HEY']
SUPRA DUKE,[636023846],['FOR ORDERS']
SONGA CRYSTAL,[215474000],['GENOA ITALY']
AISLING GABRIELLE,[250101540],['CORKK']
GLOR NA FARRAIGE,[250014000],['GALWAY']
CURO,[244193000],['GBBFS']
NORTHERN ROCK,[244850087],['MONTROSE']
"CECILIA ""WD239A""",[250001048],['WEXFORD']
PERFORMANCE,[249178000],['GBHEY']
SAPELE,[235054851],['']
BALTIC CRYSTAL,[231873000],['GBGSY>BEANR']
OCEAN HARVEST PD198,[235064432],['PETERHEAD']
RESILIENTT GUARD VES,[232711000],['GUARD EAST ANGLIA']
ARUNA CIHAN,[538004411],['SKAW']
ADELE BELLIS,[232055877],['']
WINDCAT 22,[235075935],['LOWESTOFT _']
MSC CALISTA II,[255806513],['NLRTM']
SOLENT FLYER,[235114986],['RYDE-SOUTHSEA']
SD ENGINEER,[235002008],['PLYMOUTH']
BBC BERGEN,[255806353],['FR CQF']
THUN LIDKOPING,[244046000],['PEMBROKE']
AINE CHRISTINA,[250470000],['']
OCEAN RESPONSE,[257954000],['OSEBERG']
ESVAGT OBSERVER,[219826000],['BERYL  OIL FIELD']
SUCCESS III,[235008670],['DAVY_ PLATFORM']
LOCHLANN,[235054179],['LEVERBURGH']
SIDER LIU,[255916106],['NLEEM']
SSI DAUNTLESS,[538009052],['ISKENDERUN']
ERICUSA M,[247433300],['NLRTM']
TALISMAN,[620999883],['RU ULU>EG PSD OPL']
SEAWELL,[232159000],['GBBLY']
SAOIRSE NA FARRAIGE,[250005815],['GAILLIMH-ARAINN']
FREESIA SEAWAYS,[219435000],['NOBVK']
ZHONG REN 122,[413343190],['NL VLI']
STELLA POLARIS PD200,[235097047],['FISHING_']
ISLAND FLYER,[235117772],['RYDE']
WILSON HORTEN,[314628000],['DKAAR']
F/V JEAN TABOUREL,[228364900],['']
LINK STAR,[259101000],['KYLEAKIN']
CALEDONIAN ISLES,[232001580],['GBGRK']
QUEENSFERRY,[232026545],['HOUND POINT']
MSC MOMBASA,[636023024],['BEANR>FRLEH']
SVITZER ELIZABETH,[232048132],['LIVERPOOL']
AQUARIUS,[255915850],['EG ALY']
MARIEKE,[205745000],['ARDESIER']
MAJESTIC MAERSK,[219018501],['MAPTM1>MAPTM2']
PATRICIA OLDENDORFF,[636092852],['DE HAM']
GREATHAM,[235038773],['TEES PILOTAGE']
VAN KINSBERGEN,[244736000],['DEN HELDER']
MSC ROSARIA,[372737000],['USNYC']
ARKLOW BRAVE,[244730944],['FRURO']
CABO ORTEGAL,[232007250],['FISHISING GROUNDS']
ANNIE E,[232008182],['FISH FARMS']
ARUNA ISMAIL,[538004999],['GB IMM']
RAMBIZ,[205132000],['48/29C']
SNS076 BL LIFEBOAT,[227003610],['BOUL']
PROUD,[246611000],['ESPAS               ']
FRANS HALS,[244780652],['']
HAFNIA KIRSTEN,[249340000],['PEMBROKE            ']
GAS HARALAMBOS      ,[308652000],['GBFAW               ']
NJORD THUNDER,[232023509],['LIVERPOOL<>BURBO OWF']
SONGA COMMANDER,[257426000],['SHEARWATER PF-']
SKONNERTEN JYLLAND.,[220276000],['FR DKK>GB']
YM CREDIBILITY,[636019898],['DEHAM>EGEDK']
INTERMEZZO,[244030835],['']
PANDA 002,[255805843],['ESBCN']
LODE,[232005827],['SCRABSTER']
WINDCAT 33,[235103062],['HGATE.\\GRIMS']
SOEROEYSUND,[257137000],['LOCHBOISDALE']
SCENIC GEM,[229784000],['VERNON']
ARKLOW VANGUARD,[244050844],['GBBEL']
FRYSLAN,[235084537],['']
ALBICORE,[235002917],['']
PERSEVERANCE II,[235100625],['FISHING_VHF16.']
L OGIEN,[235082849],['']
LORAX,[311001079],['FR LEH > BS FPO']
WILSON SUND,[257077550],['PETERHEAD']
FLAMENCO,[636018752],['BALTIC  -FOR ORDER']
RESOLUTE BF50,[232028941],['FRASERBURGH']
AMY JANE,[232051493],['PLYMOUTH']
LAKER,[352003741],['LT LKJ']
MAERSK LONDRINA,[219540000],['GBSOU>NLRTM']
VARAGEN,[232000550],['KIRKWALL & N.ISLES']
OYAPOCK,[226937000],['']
UKD SEAHORSE,[232004441],['HULL']
ESVAGT CASSIOPEIA,[219009432],['BRUCE FIELD']
SKOGAFOSS,[305411000],['PLSWI']
SOLWAY FISHER,[308665000],['GBIMMM']
RIX BALTIC,[209892000],['NL VEL']
ESVAGT FARADAY,[219613000],['HOW02']
CRC WALRUS,[232045496],['GREAT YARMOUTH']
LH PILOT ST HONORINE,[228055080],['LE HAVRE']
RIX CHEETAH,[235097312],['RACE BANK']
JSP MOEN,[255807000],['GDANSK']
GOVENEK OF LADRAM,[235006840],['NETS CH 08']
DIXIE QUEEN,[235055123],['LONDON']
AURORA COOPER,[257632000],['PETERHEAD']
PIONEER KNUTSEN,[259393000],['NOKOL']
THAMES HIGHWAY,[311996000],['DEEME']
ARKLOW BEACON,[244830098],['GBAVO']
DEE4 LARCH,[219409000],['HN PCR > NL RTM']
MAARTJE THEADORA,[218066000],['FISHINGGROUNDS']
VOS HERA,[235107437],['KITTIWAKE']
LAPPLAND,[255806291],['SHOREHAM']
SVITZER ELEANOR,[232032044],['SOUTHAMPTON']
SVITZER CECILIA,[232003119],['SUNDERLAND']
DECATHLON,[538004487],['USCRP']
BG GREEN,[255804590],['IE DUB']
SPECTRUM 3,[235082698],['BARROW><BURBO WF']
OFFSHORE SCOUT,[235001001],['IPSWICH']
MERLIN,"[232053884, 538009709]","['BRPNG', '']"
RNLI LIFEBOAT 13-52,[232052719],['CLACTON ON SEA SAR']
BRADAN AN EOLAIS,[232061271],['STROME']
RNLI LIFEBOAT 13-54,[232054391],['SAR OPERATIONS']
WILSON LOVIISA,[314608000],['IT MDC>>>DELEE']
RIX SAPPHIRE,[636023759],['ESSDR']
SEACON ANTWERP,[636023994],['USNNS']
VB SERVICEMAN,[232004530],['LIVERPOOL']
MARAN CONQUEROR,[241206000],['NLRTM']
GRANDE ARGENTINA,[215949000],['BEANR>FRLEH']
PL ST BRENDAN,[235078345],['PILOTAGE OPERATIONS']
CORAL MONACTIS,[244870428],['BE ANR']
STOLT REDSHANK,[235089046],['SUNDERLAND']
SNS086 AMDETOURVILLE,[227002970],['BARFLEUR']
VELSERDIJK,[244865000],['NLMOE']
MFV EXCEL,[235001318],['']
ELANDRA SOUND,[636019297],['GIGIB']
FREJ,[304010515],['BEANR']
FOYLE,[215584000],['GBPLY']
ARKLOW SPIRIT,[250002887],['GBLON NORTHFLEET']
STENA SUPERFAST VIII,[235089436],['LRP/BEL']
SVITZER LINDSWAY,[235066014],['MILFORD HAVEN']
IONA,[310857000],['GBSOU > NOSVG']
WIGHT SKY,[235064783],['GB LYM']
CEDERBORG,[246782000],['FOR ORDER']
TEMPEST,[244285000],['FAWLEY']
GRAMPIAN DEFIANCE,[235094286],['CATCHER FIELD']
VEGA,[232011338],['']
TRANSUND,[636022504],['SELLA']
SAOIRSE NA MARA,[250005313],['GALWAY']
SMB-03,[232046309],['']
SFL HAWAII,[636021040],['MX_VER']
FLOTTA LASS,[235058922],['FLOTTA']
UNISCOUT,[305366000],['IERIN']
AMADEUS SMARAGD,[244967000],['MIDDLESBROUGH']
SEA VOYAGER,[538003439],['PLGDN']
ATHENIA,[235088194],['STROMNESS']
4-WINDS,[245410000],"['KEEP0,5NM CPA']"
LADY HARRIET,[244020808],['BERMEO']
RNLI LIFEBOAT 17-22,[232003142],['POOLE UK']
LAGARFOSS,[231789000],['FOTHO']
LONGSTONE,[246091000],['GBTIL<->BEZEE']
ERRINGTON,[232042335],['']
MSC JOANNA,[372050000],['MUPLU']
LINDA,[230984000],['ESSCT']
BERNHARD,[304978000],['BEANR']
EEMS SOLAR,[246367000],['GBIMM']
LOUISA BOLTEN,[538008683],['GBLIV>DEBRE']
IRMGARD,[636023986],['RU LED']
RED NOVA            ,[636019391],['FAWLEY              ']
WINTER OF LADRAM,[232043227],['NEWLYN']
NEPTUNE PHOS,[241909000],['PTSET']
MINKA C,[235061954],['BGVAR']
RUSADER,[351053000],['GBPLY']
WYLDE SWAN,[244074000],['GBABD']
RNLI LIFEBOAT 16 04,[235030388],['PADSTOW LIFEBOAT SAR']
FAST SIM,[205011000],['WANDELAAR ANCH']
RNLI LIFEBOAT 16-03,[235030389],['COWES']
MONTCALM,[227056790],['FRGVLVNG85DOCKX00347']
AVE MARIA II,[250003797],['']
ARC EN CIEL,[205250990],['']
VICTOR HORTA,[205604000],['LE HAVRE']
RAY BETA,[235899931],['']
PILOT VESSEL GALLANT,[235000795],['FOWEY']
FORTH CHEETAH,[232059248],['PILOT DUTIES']
AMELIE G,[232007852],['']
CONQUESTOR,[235055062],['LONDON']
PORTAFERRY II,[235003307],['PFY<->SFD']
RED KESTREL,[232019192],['SOUTHAMPTON']
AQUA HARVESTER,[235114546],['MALLAIG']
CMA CGM TIGA,[249400000],['GBFXT']
EDWARD HENRY,[235004230],['SCRABSTER']
ADELHEID BR,[636024718],['GBCSN']
MILLENIUM OF LONDON,[235052131],['']
NORTH STAR,[235826000],['PETERHEAD']
EDZARD CIRKSENA,[305181000],['NLTNZ']
COCODY,[228065120],['']
MAGISTER,[226004180],['']
WILSON LEER,[314552000],['NLRTM']
CHLOE MAY,[235032464],['GB BEL']
LIGHTNING REFLEX,[235075534],['']
CHAMBON BORA,[227017200],['BOULOGNE']
HARBOUR FIRST,[255804570],['LAVERA']
VB DOLPHIN,[232051787],['THAMES TOWAGE']
ALAND               ,[249581000],['GBLIV               ']
PURUS CHINOOK,[232055578],['TRITON KNOLL OWF']
VERLAINE WD5,[250003172],['FISHING GROUNDS']
AL SAFAT,[636093160],['BEANR']
ABEILLE NORMANDIE,[228415800],['NAVY ORDERS']
FINNECO II,[230697000],['ESBIO']
SVITZER INTREPID,[235051992],['DENTON']
GOOD FELLOWSHIP,[232004770],['']
WIND PEAK,[219032994],['SOFIA OWF DOGGER BAN']
SILVER RAVEN,[232061638],['']
GHIBLI,[246301000],['WHITEGATE']
WATERFORD PILOTS,[250006468],['']
SKANDI VEGA,[257403000],['LOFN']
ZEPHYR,[232020261],['LERWICK']
SALLY ANN,[235105485],['CHARLOTTES BAY']
IEVOLI BLACK,[232052519],['SEA PATROL']
CHEMICAL FRONTIER,[538010262],['ELLESMERE (UK)']
LCU 9738,[235075498],['Q']
CM NEPTUNE,[636023865],['GBKKD']
PEGASUS J,[304122000],['NLRTM']
VILLE DE PARIS,[227017600],['DIEPPE']
MIKAL WITH,[259228000],['GBKYL/FISHFARMS']
STOREMOOR,[232026710],['SHEERNESS']
SCA ORTVIKEN,[265412000],['OXELOSUND']
CLEAN IMPERIAL,[538010830],['DZSKI']
EXTERMINATOR,[235109009],['']
PURUS BRIGHTON,[232056674],['NNG<->EYEMOUTH']
GRATEFUL,[232007139],['FRASERBURGH']
VOS GLORY,[235103023],['ABERDEEN']
COTE D'OPALE,[228417600],['CALAIS DOVER CALAIS']
F\V CALIFORNIA,[228089900],['FISHINGAREA']
ARC INDEPENDENCE,[338794000],['DEBRV']
STAR ISTIND,[257424000],['BEANR']
ATLANTIS ANTIBES,[249702000],['GBIMM>PTAVE']
AGRAFA,[314694000],['DENHA']
BERGEN STAR,[258310000],['GBHLY']
MALAMUTE,[235053189],['LONDON']
SENECA,[212546000],['US BAL']
BOTTICELLI,[226001140],['']
SEA SATIN,[235019388],['GBDVR']
THIERRY M,[226010550],['VITRY SU SEINE']
SDM SHENYANG,[636022821],['ES LPA<PL GDY']
AMONITH,[210745000],['BE HEX']
ELISABETH K,[244243000],['ES PAS']
ORALORA,[219200000],['GBFAL']
THAMES TRAINER,[232019100],['LONDON']
LPG/C GREEN ENERGY,[563172500],['BQ   EUX']
MURRAY V,[232029326],['GRIMSBY']
LURO,[244059000],['SANTANDER']
FV TREVESSA IV,[232005890],['FISHING']
AURORA,"[310556000, 304080000]","['IEDUB', 'GB SOU>GG SPT']"
WILSON HANSTHOLM,[314629000],['GBBEL']
CIELO DI ULSAN      ,[256902000],['ANTWERP             ']
RED OSPREY,[235006680],['SOUTHAMPTON']
HOLS,[232026983],['KAMES FISHFARMS']
PYTHAGORE,[226013720],['']
UHL FAST,[255806186],['DE CUX']
PROVIDER,"[235000752, 257232000]","['', 'GBSUN']"
OLGA,[636016374],['BEGNE']
HAV ALDA,[231864000],['FAIRLIE']
MAERSK OHIO,[367775000],['BE ANT']
CM COAST,[636021860],['GBSHO']
SVITZER ADIRA,[232008120],['GRAVESEND (THAMES)']
KRISTA,[305284000],['GB LDY']
CAROLINE A,[247353200],['BEANR']
FRISIAN SEA,[244780424],['BEANT']
SOUTHERN BREEZE,[232021827],['NUT HOUSE']
F/V ADRIANA,[228380600],['']
FLEUR DE LYS,[235075198],['MALLAIG']
LOCH PORTAIN,[235008928],['BERNERAY']
THOR HIGHWAY,[636023332],['BEZEE(WANDELAAR P/S)']
MALYOVITSA,[215672000],['GBBRS']
KAMELIA             ,[229245000],['GBSHO               ']
BOKA OCEAN,[311064500],['SOFIA OWF']
ENERGY,[255806300],['NLRTM']
GEOQUIP ELENA,[576431000],['IJMUIDEN']
ARKLOW ACE,[250005913],['ORDER']
SANN TRO,[376616000],['TNBIZ']
RENAISSANCE,[310805000],['NOAES               ']
TRUE LIGHT,[250103840],['CI<>RNGH 30']
PULLMOOR,[232027935],['MEDWAY']
HYDROCAT 60,[232058586],['GRIMSBY-RACE BANK WF']
KENDRA OLDENDORFF,[255806277],['NLVLI']
NOBLE RESILIENT,[538010633],['INVERGORDON']
F/V AQUILA,[235050371],['CRAB FISHING']
ABERDEEN,[255916071],['GBBOS']
COTE DES FLANDRES,[228085000],['CALAIS - DOVER']
PTB-03,[232037745],['']
MEIN SCHIFF 3,[229090000],['DE BRV']
ELBTRADER,[212937000],['GBBEL']
ALICE COSULICH,[247427900],['NLRTM']
CONTSHIP TOP,[636018000],['BEANR']
MFV ARCTURUS PH7979,[232007026],['FISHING']
CL FLANDERS,[205168000],['SEVAR']
HILDASAY,[235087121],['KIRKWALL']
CHANNEL CHIEFTAIN 6,[235095697],['WEYMOUTH']
BELEM,[227051000],['GB ABD']
CLEAN FUTURE,[256223000],['FOR ORDERS']
GLOMAR PRIDE,[351228000],['TIFFANY']
MONT SAINT MICHEL,[227023100],['GB PME']
LEFKAS,[212874000],['NL RTM']
ECHO EXPLORER,[235106587],['']
THAME,[235092014],['SURVEY']
JAN V,[304274000],['SEAHAM']
HAGLAND CHIEF,[257207000],['HAUSVIK']
AMS SPIRIT,[235077743],['MOSTYN']
LANTIC BAY,[235021996],['FOWEY']
METHANE BECKI ANNE,[310597000],['NLRTM-TTPTF']
INEOS INGENUITY,[219000034],['DKODE']
MATTEO BR,[247381900],['PL SZZ']
